subj_idx,block,trial,Vstim,Astim,match,response,result,rt,fb,V-file,A-file
2,2,17,2,2,1,2,1,0.981,1,<U+10C1>,DEU_i_1.wav
2,2,18,3,2,0,1,1,0.716,1,<U+10BF>,DEU_i_1.wav
2,2,19,2,2,1,2,1,0.793,1,<U+10C1>,DEU_i_1.wav
2,2,20,1,3,0,1,1,1.536,1,<U+10A3>,DEU_g.wav
2,2,21,3,2,0,1,1,0.844,1,<U+10BF>,DEU_i_1.wav
2,2,22,2,2,1,2,1,0.831,1,<U+10C1>,DEU_i_1.wav
2,2,23,1,3,0,1,1,0.989,1,<U+10A3>,DEU_g.wav
2,2,24,2,2,1,2,1,0.795,1,<U+10C1>,DEU_i_1.wav
2,2,25,1,1,1,2,1,1.291,1,<U+10A3>,DEU_p.wav
2,2,26,2,1,0,1,1,0.823,1,<U+10C1>,DEU_p.wav
2,2,27,1,1,1,2,1,1.201,1,<U+10A3>,DEU_p.wav
2,2,28,2,2,1,2,1,0.767,1,<U+10C1>,DEU_i_1.wav
2,2,29,3,3,1,2,1,0.92,1,<U+10BF>,DEU_g.wav
2,2,30,2,1,0,1,1,0.726,1,<U+10C1>,DEU_p.wav
2,3,1,3,2,0,1,1,1.232,1,<U+10AA>,DEU_r_1.wav
2,3,2,1,1,1,1,0,1.48,0,<U+10A7>,DEU_e_1.wav
2,3,3,2,1,0,1,1,1.094,1,<U+10C2>,DEU_e_1.wav
2,3,4,1,3,0,1,1,1.224,1,<U+10A7>,DEU_a_short.wav
2,3,5,2,2,1,2,1,0.92,1,<U+10C2>,DEU_r_1.wav
2,3,6,3,2,0,1,1,0.946,1,<U+10AA>,DEU_r_1.wav
2,3,7,1,3,0,1,1,1.182,1,<U+10A7>,DEU_a_short.wav
2,3,8,3,3,1,2,1,1.513,1,<U+10AA>,DEU_a_short.wav
2,3,9,2,2,1,2,1,1.013,1,<U+10C2>,DEU_r_1.wav
2,3,10,1,3,0,1,1,1.02,1,<U+10A7>,DEU_a_short.wav
2,3,11,2,1,0,1,1,1.02,1,<U+10C2>,DEU_e_1.wav
2,3,12,3,3,1,2,1,1.324,1,<U+10AA>,DEU_a_short.wav
2,3,13,2,1,0,1,1,0.771,1,<U+10C2>,DEU_e_1.wav
2,3,14,1,1,1,2,1,1.055,1,<U+10A7>,DEU_e_1.wav
2,3,15,3,2,0,1,1,1.008,1,<U+10AA>,DEU_r_1.wav
2,3,16,1,3,0,1,1,0.878,1,<U+10A7>,DEU_a_short.wav
2,3,17,2,1,0,1,1,0.853,1,<U+10C2>,DEU_e_1.wav
