subj_idx,block,trial,vStims,aStim,resp,rt,fb,iti,feedJitter,vSymbols,aFile,stimOnset,respOnset,feedbackOnset
2x3-03,2,5,2_1,2,2,1.061,0,3374,2549,ed,norm_k.wav,52081,53142,56673
2x3-03,2,6,3_2,2,1,1.261,0,2863,2011,fe,norm_k.wav,61572,62833,65620
2x3-03,2,7,2_3,2,1,1.284,1,2097,1124,ef,norm_k.wav,69740,71024,72901
2x3-03,2,8,1_3,1,1,1.254,1,3082,1861,df,norm_e.wav,78027,79281,81923
2x3-03,2,9,3_2,3,1,1.462,1,3221,2016,fe,norm_f.wav,87167,88629,91212
2x3-03,2,10,2_3,2,1,0.976,1,3788,1510,ef,norm_k.wav,97035,98011,100574
2x3-03,2,11,1_2,1,2,1.599,0,3569,2482,de,norm_e.wav,106168,107767,110681
2x3-03,2,12,2_1,2,1,1.02,1,2872,1588,ed,norm_k.wav,115589,116609,119205
2x3-03,2,13,1_3,3,2,0.887,1,3164,2253,df,norm_f.wav,124399,125286,128705
2x3-03,2,14,3_1,1,2,1.134,1,2990,1333,fd,norm_e.wav,133726,134860,137086
2x3-03,2,15,1_2,1,1,1.373,1,2720,1823,de,norm_e.wav,141841,143214,145711
2x3-03,2,16,2_1,1,2,1.264,1,1752,1850,ed,norm_e.wav,149491,150755,153372
2x3-03,2,17,1_3,1,1,0.899,1,2685,1346,df,norm_e.wav,158092,158991,161470
2x3-03,2,18,1_2,2,2,1.117,1,2873,1857,de,norm_k.wav,166381,167498,170265
2x3-03,2,19,3_1,3,1,1.281,1,2301,2563,fd,norm_f.wav,174594,175875,179189
2x3-03,2,20,1_2,2,2,0.713,1,4089,1421,de,norm_k.wav,185316,186029,188782
2x3-03,2,21,3_1,1,2,0.969,1,2398,2175,fd,norm_e.wav,193210,194179,197421
