subjID,block,trial,vStim1,vStim2,aStim,resp,RT,fb,vStimNassoc,stimOnset,respOnset,feedbackOnset,pe,delta,drift,assoc_active,assoc_inactive
biokurs19-03,3,94,21,22,21,1,1.139,1,22,156046,157185,160052,0.3976215,0.729530046978867,0.906028564075505,0.6023785,0.57245
biokurs19-03,3,95,20,23,20,1,0.931,1,23,165120,166051,169034,0.4021785,0.748327657708536,0.929373966129858,0.5978215,0.6072785
biokurs19-03,3,96,19,18,18,2,1.308,1,19,174280,175588,177921,0.369787995,0.87118703728542,1.08195727331813,0.630212005,0.772739613609785
biokurs19-03,3,97,20,24,20,1,0.948,1,24,182346,183294,186289,0.374026005,0.785922879167874,0.976064770238563,0.625973995,0.639669005
biokurs19-03,3,98,17,22,17,2,1.044,0,22,191678,192722,196040,-0.634769005,0.774526580440417,0.961911313208831,0.634769005,0.6125215
biokurs19-03,3,99,20,21,21,1,0.949,0,20,200937,201886,204076,-0.630212005,0.796308445210618,0.988962963435383,0.630212005,0.65215581535
biokurs19-03,3,100,21,17,17,1,1.501,0,21,209431,210932,213708,-0.67920283535,0.840497631397572,1.04384304010177,0.67920283535,0.67432684535
biokurs19-03,3,101,21,19,19,2,1.133,1,21,218036,219169,221895,0.17316861343753,0.946326395790217,1.17527543803744,0.82683138656247,0.6971239661755
biokurs19-03,3,102,18,17,18,1,1.192,1,17,227842,229034,232139,0.34390283535,0.858700987486732,1.06645041679189,0.65609716465,0.7267470338245
biokurs19-03,3,103,17,20,17,2,0.912,0,20,235905,236817,239907,-0.777619326192215,0.902963556880295,1.1214216305973,0.777619326192215,0.6765049082755
biokurs19-03,3,104,24,19,19,1,1.57,0,24,245086,246656,248700,-0.838953189503097,0.945980934382031,1.17484639758201,0.838953189503097,0.68444583535
biokurs19-03,3,105,22,21,21,2,1.199,1,22,254811,256010,259559,0.254077356192215,0.860392154796927,1.06855073588912,0.745922643807785,0.639644995
biokurs19-03,3,106,17,20,20,2,1.128,1,17,263858,264986,268044,0.300850435303785,0.950826477904284,1.18086424545245,0.699149564696215,0.83205267902567
biokurs19-03,3,107,24,21,21,2,1.209,1,24,273146,274355,277715,0.23629194125876,0.91297258749538,1.13385219144058,0.76370805874124,0.7065346268755
biokurs19-03,3,108,19,18,19,1,1.462,1,18,282420,283882,285792,0.102320087231686,0.979793379116784,1.21683924061538,0.897679912768314,0.6801703631245
biokurs19-03,3,109,18,20,20,2,0.77,1,18,291089,291859,295586,0.27979090483252,0.899155257285177,1.11669197178746,0.72020909516748,0.727782288543215
biokurs19-03,3,110,23,18,18,2,0.98,1,23,300873,301853,304321,0.22127295125876,0.887061087614546,1.10167180472821,0.77872704874124,0.649787995
biokurs19-03,3,111,20,19,20,1,0.785,1,19,308647,309432,312311,0.260205541494243,1.02126561065331,1.26834503745494,0.739794458505757,0.904842318874532
biokurs19-03,3,112,17,18,18,2,0.82,1,17,317771,318591,321373,0.205783844670647,1.04602714287965,1.2990972396161,0.794216155329353,0.890296366557467
biokurs19-03,3,113,19,22,19,1,1.379,1,22,326388,327767,330769,0.0318187188042506,1.02621139667159,1.27448737994367,0.968181281195749,0.68442014465
biokurs19-03,3,114,21,19,21,2,1.459,0,19,335800,337259,338814,-0.780248494629353,1.08710075240482,1.35010797401094,0.780248494629353,0.970408591512047
biokurs19-03,3,115,19,21,19,1,1.578,1,21,343888,345466,347530,0.0275200098937963,1.12230263759883,1.39382641114339,0.972479990106204,0.834865889253408
biokurs19-03,3,116,17,19,17,2,1.293,0,19,352247,353540,356769,-0.974406390798769,1.19542229312309,1.4846362369685,0.95261711221649,0.974406390798769
