subjID,block,trial,vStim,aStim,match,choice,rt,fb,iti,feedJitter,vFile,aFile,stimOnset,choice,feedbackOnset
6,2,19,1,2,0,2,1319,1,3164,940,<U+10B2>,norm_r.wav,157791,159110,160776
6,2,20,2,2,1,1,1485,1,3052,1696,<U+10A7>,norm_r.wav,165857,167342,169586
6,2,21,4,3,0,2,889,1,2685,1143,<U+056E>,norm_au.wav,174308,175197,177495
6,2,22,1,2,0,2,1428,1,4089,1769,<U+10B2>,norm_r.wav,183623,185051,187437
6,2,23,4,4,1,1,1460,1,2873,1369,<U+056E>,norm_g.wav,192345,193805,195748
6,2,24,1,1,1,1,1431,1,3929,1067,<U+10B2>,norm_i.wav,201721,203152,204833
6,2,25,4,3,0,2,1125,1,3057,1433,<U+056E>,norm_au.wav,209934,211059,213412
6,2,26,1,1,1,1,834,1,3162,871,<U+10B2>,norm_i.wav,218608,219442,221508
6,2,27,2,1,0,2,871,1,3082,1353,<U+10A7>,norm_i.wav,226634,227505,230025
6,2,28,1,2,0,2,1033,1,3440,1490,<U+10B2>,norm_r.wav,235508,236541,239034
6,2,29,3,3,1,1,1748,1,3221,1101,<U+10B0>,norm_au.wav,244285,246033,247427
6,2,30,1,1,1,1,1021,1,3788,2176,<U+10B2>,norm_i.wav,253243,254264,257462
6,2,31,3,4,0,2,1656,1,2872,1435,<U+10B0>,norm_g.wav,262371,264027,265841
6,2,32,2,1,0,2,910,1,3569,1654,<U+10A7>,norm_i.wav,271442,272352,275127
6,3,1,3,3,1,2,1043,0,2097,1483,<U+0583>,norm_e.wav,7137,8180,10652
6,3,2,2,2,1,1,1383,1,2869,1067,<U+1206>,norm_m.wav,15576,16959,18680
